No,supplier,barcode,name,quantity,cost,price,alert_quantity,batch_number
19,KAPPER KKY,1000135,WALKAROO LADIES,3,"1,300.00","2,499.00",0,21102024
24,INDIKA GALAGEDARA,1000147,INDIAN TWO STEP,14,"1,250.00","1,999.00",5,13022023
27,KAPPER KKY,1000149,BIG BOSS BATA,11,750.00,"1,199.00",0,21102024
34,SITHU GARMENT,1000183,CINDY LOAFER 9-12,1,450.00,699.00,5,14022023
35,SITHU GARMENT,1000184,CINDY LOAFER 6-9,2,450.00,699.00,5,14022023
57,NEW FASHION,1000385,NEW FASHION 5224 BR - 374,1,"1,250.00","2,299.00",5,19022023
59,NEW FASHION,1000391,NEW FASHION 224 BG- 382,1,"1,350.00","2,399.00",5,19022023
60,NEW FASHION,1000392,NEW FASHION 224 GY- 383,1,"1,350.00","2,399.00",5,19022023
61,NEW FASHION,1000401,NEW FASHION 227 TN - 408,1,"1,450.00","2,499.00",5,19022023
62,NEW FASHION,1000402,NEW FASHION 227 MR - 409,1,"1,450.00","2,499.00",5,19022023
64,NEW FASHION,1000405,NEW FASHION 3521 BG - 415,1,"1,400.00","2,499.00",5,19022023
65,NEW FASHION,1000406,NEW FASHION 3521 BL - 416,1,"1,400.00","2,499.00",5,19022023
67,NEW FASHION,1000408,NEW FASHION 230 MR - 418,1,"1,450.00","2,499.00",5,19022023
68,NEW FASHION,1000409,NEW FASHION 4128 LB - 419,1,975.00,"1,799.00",5,19022023
73,NEW FASHION,1000423,NEW FASHION 3789 GY - 434,1,"1,950.00","3,399.00",5,19022023
74,NEW FASHION,1000424,NEW FASHION 3789 BL - 435,1,"1,950.00","3,399.00",5,19022023
75,NEW FASHION,1000426,NEW FASHION 3789 BR - 437,1,"1,950.00","3,399.00",5,19022023
76,NEW FASHION,1000428,NEW FASHION 5234MR 440,1,"1,750.00","2,999.00",5,19022023
80,NEW FASHION,1000437,NEW FASHION 3781GY 452,1,"1,950.00","3,399.00",5,19022023
81,NEW FASHION,1000443,NEW FASHION R017BL 459,1,"1,650.00","2,899.00",5,19022023
82,NEW FASHION,1000444,NEW FASHION 099GY 460,1,"1,900.00","3,399.00",5,19022023
83,NEW FASHION,1000445,NEW FASHION 224BL 461,1,"1,950.00","3,399.00",5,19022023
85,KAPPER KKY,1000449,VTREK 6058,1,"1,499.00","2,499.00",0,24102024
94,WAMIK KVC,1000481,KVC 33292 BR - 8-12,1,"1,440.00","2,299.00",0,21102024
103,WAMIK KVC,1000501,KVC 33022 BR - 7-10,1,990.00,"1,899.00",5,21022023
105,WAMIK KVC,1000503,KVC 8820 TN - 7-10,1,990.00,"1,899.00",5,21022023
108,WAMIK KVC,1000508,KVC 33292 BR - 7-10,1,"1,840.00","2,899.00",5,21022023
113,WAMIK KVC,1000514,KVC 33011 BR - 7-10,1,"1,040.00","2,899.00",5,21022023
114,WAMIK KVC,1000519,KVC 33266 TN - 7-10,1,"1,840.00","2,899.00",5,21022023
119,WAMIK KVC,1000530,KVC 33221 BR - 7-10,2,"1,840.00","2,899.00",5,21022023
120,KAPPER KKY,1000531,VTREK TN,1,"1,800.00","2,699.00",5,21022023
121,KAPPER KKY,1000532,VTREK BR,1,"1,700.00","2,699.00",5,21022023
122,KAPPER KKY,1000533,VTREK BL 6064,1,"1,700.00","2,699.00",5,21022023
126,STEPS AKURANA,1000560,MI CIASSOC PARTY SHOE-BL-L88,6,"2,250.00","3,599.00",3,22022023
128,WAMIK KVC,1000575,KVS LEDIES 1401 - BG BL,3,"1,540.00","2,599.00",0,24102024
130,WAMIK KVC,1000596,KVC SANDALS 11520BR-6-10,2,840.00,"1,900.00",0,24102024
131,WAMIK KVC,1000597,KVC SANDALS 6-10-11523RD BL,3,900.00,"1,900.00",0,24102024
132,WAMIK KVC,1000598,KVC SANDALS 6-10-11520BU GY,2,900.00,"1,900.00",0,24102024
133,WAMIK KVC,1000599,KVC SANDALS 6-10-11523 GY,5,900.00,"1,900.00",0,24102024
134,WAMIK KVC,1000600,KVC SANDALS 6-10-11523 GY OR,5,900.00,"1,900.00",3,27022023
135,WAMIK KVC,1000601,KVC SANDALS 6-10-11523 BU BL,5,900.00,"1,900.00",0,24102024
136,WAMIK KVC,1000602,KVC SANDALS 8-12-11523 BR,1,950.00,"2,000.00",0,24102024
137,WAMIK KVC,1000603,KVC SANDALS 8-12-11523 BL BG,9,950.00,"2,000.00",0,24102024
138,WAMIK KVC,1000604,KVC SANDALS 8-12-11523 BG BR,5,950.00,"2,000.00",3,27022023
139,WAMIK KVC,1000605,KVC SANDALS 8-12-11537 BG GR,5,950.00,"2,000.00",0,24102024
144,KKY - ROYAL,1000676,CHARM  BLACK COURT SHOE,2,"1,450.00","2,500.00",3,28022023
148,SIRIZ MAWANELLA,1000797,TWO TONE SOCKS - M,45,170.00,399.00,0,26102024
149,SILVER SHIELD - SOCKS,1000798,TWO TONE SOCKS - L,53,210.00,399.00,0,26102024
150,SILVER SHIELD - SOCKS,1000799,BLACK SOCKS - S,40,150.00,350.00,0,26102024
151,SILVER SHIELD - SOCKS,1000800,BLACK SOCKS - CM,4,150.00,350.00,0,26102024
155,SILVER SHIELD - SOCKS,1000810,NORMAL BLACK SOCKS - M,4,100.00,250.00,0,26102024
156,SILVER SHIELD - SOCKS,1000811,NORMAL BLACK SOCKS - L,3,100.00,250.00,0,26102024
157,SILVER SHIELD - SOCKS,1000812,NORMAL WHITE SOCKS - M,15,100.00,250.00,0,26102024
159,SILVER SHIELD - SOCKS,1000816,GIRLS FASHION SOCKS - 4-7,7,150.00,350.00,0,26102024
160,SILVER SHIELD - SOCKS,1000818,BAYA SOCKS PYAR - 0-3,2,200.00,450.00,0,26102024
161,SILVER SHIELD - SOCKS,1000819,N H Z CHILDREN SOCKS -4-8,7,150.00,300.00,0,26102024
162,SILVER SHIELD - SOCKS,1000821,GIRLS FASHION SOCKS -W T -16-18,14,125.00,350.00,0,26102024
163,SILVER SHIELD - SOCKS,1000822,GIRLS FASHION SOCKS -W T -14-16,19,150.00,350.00,0,26102024
164,SILVER SHIELD - SOCKS,1000823,GIRLS FASHION SOCKS -M T 14-16,12,150.00,350.00,0,26102024
165,SILVER SHIELD - SOCKS,1000824,GIRLS FASHION SOCKS -M T 18-16,10,150.00,350.00,0,26102024
167,ALI AKBAR,1000917,PARCILON PAINITE - 50ML,1,"2,810.50","3,850.00",1,13032023
168,ALI AKBAR,1000919,PARCILON ODYSSEY - 50ML,1,"2,810.50","3,850.00",1,13032023
171,NEW FASHION,1000938,NEW FASHION 099BR - 464,1,"1,850.00","3,400.00",2,22032023
172,NEW FASHION,1000939,NEW FASHION 099BU - 465,1,"1,850.00","3,400.00",2,22032023
173,NEW FASHION,1000940,NEW FASHION 099GY - 466,1,"1,850.00","3,400.00",2,22032023
174,NEW FASHION,1000941,NEW FASHION 099MR - 467,1,"1,850.00","3,400.00",2,22032023
175,NEW FASHION,1000942,NEW FASHION 1733BL - 468,1,"1,750.00","3,300.00",2,22032023
176,NEW FASHION,1000943,NEW FASHION 4124BL - 469,1,"1,650.00","3,200.00",2,22032023
177,NEW FASHION,1000944,NEW FASHION 4124BU - 470,1,"1,650.00","3,200.00",2,22032023
178,NEW FASHION,1000945,NEW FASHION D72 GD - 471,1,"2,300.00","3,900.00",2,22032023
180,NEW FASHION,1000948,NEW FASHION 1753 BL - 474,1,"1,650.00","3,200.00",4,22032023
181,NEW FASHION,1000949,NEW FASHION 1753 BU - 475,1,"1,650.00","3,200.00",2,22032023
182,KAPPER KKY,1000950,NEW FASHION LH 18 - 476,1,"1,900.00","3,500.00",2,22032023
183,NEW FASHION,1000953,NEW FASHION 4132 BL - 479,1,"1,650.00","3,200.00",2,22032023
184,NEW FASHION,1000955,NEW FASHION 4132 BU - 481,1,"1,650.00","3,200.00",2,22032023
185,NEW FASHION,1000957,NEW FASHION 5233BL - 483,1,"1,700.00","3,300.00",2,22032023
186,NEW FASHION,1000959,NEW FASHION 5233PK - 485,1,"1,700.00","3,300.00",2,22032023
187,NEW FASHION,1000960,NEW FASHION LH28 BR - 486,1,"1,900.00","3,450.00",2,22032023
188,NEW FASHION,1000961,NEW FASHION 431 MR - 487,1,"1,850.00","3,400.00",2,22032023
189,NEW FASHION,1000963,NEW FASHION D15 SIL - 489,1,"2,150.00","3,800.00",2,22032023
190,NEW FASHION,1000964,NEW FASHION 5235 BL - 490,1,"1,700.00","3,300.00",2,22032023
191,NEW FASHION,1000965,NEW FASHION 5235 BR - 491,1,"1,700.00","3,300.00",2,22032023
192,NEW FASHION,1000966,NEW FASHION 5235 GY - 492,1,"1,700.00","3,300.00",2,22032023
193,NEW FASHION,1000967,NEW FASHION 5235 TN - 493,1,"1,700.00","3,300.00",2,22032023
194,NEW FASHION,1000968,NEW FASHION 3902 BL - 494,1,"1,700.00","3,300.00",2,22032023
195,NEW FASHION,1000971,NEW FASHION 5237BG - 497,1,"1,700.00","3,300.00",2,22032023
196,NEW FASHION,1000972,NEW FASHION 5237BL - 498,1,"1,700.00","3,300.00",2,22032023
197,NEW FASHION,1000973,NEW FASHION 5237BR - 499,1,"1,700.00","3,300.00",2,220232023
